event_id,selection_group,origin_time_utc,event_lat,event_lon,event_depth_km,source_x_km,source_y_km,source_z_km,magnitude,rms_s,phases,network,station,location,channel,station_lat,station_lon,receiver_x_km,receiver_y_km,pick_time_utc,travel_time_s,xml_file,n_picks,gap_deg,error_depth_km,quality_score
SGC2024pbabav,domain_20_120,2024-08-01T00:11:06.250000Z,7.6535,-73.48233333,117.03,-53.293124234442935,72.74762000000001,117.03,2.218173424,0.2,16,CM,BRJC,00,HHZ,6.97,-73.74,-81.76277582452627,-3.3396000000000274,2024-08-01T00:11:24.825213Z,18.575213,C:\Users\claudia.parra\Documents\Materias_romulo\investigacion\tomografia_localizacion_simultaneas\output_sgc_new_events_joint_vp_relocation_fmm_min4_plus_shallow\data\xml_events\SGC2024pbabav.xml,4,,,-3.345479728000001
SGC2023wjpoym,domain_20_120,2023-11-13T20:10:11.289999Z,6.603833333,-73.708,104.02,-78.22708822130389,-44.10127337044001,104.02,1.526621395,0.3,18,CM,BRJC,00,HHZ,6.97,-73.74,-81.76277582452627,-3.3396000000000274,2023-11-13T20:10:24.922226Z,13.632227,C:\Users\claudia.parra\Documents\Materias_romulo\investigacion\tomografia_localizacion_simultaneas\output_sgc_new_events_joint_vp_relocation_fmm_min4_plus_shallow\data\xml_events\SGC2023wjpoym.xml,5,,,-3.420135815000002
SGC2024pksixs,domain_20_120,2024-08-06T07:03:37.250000Z,7.503,-73.20666667,117.98,-22.83464947244839,55.99396000000001,117.98,1.490772645,0.7,22,CM,PAM,20,EHZ,7.34,-72.7,33.147071280213275,37.84879999999998,2024-08-06T07:03:55.022944Z,17.772944,C:\Users\claudia.parra\Documents\Materias_romulo\investigacion\tomografia_localizacion_simultaneas\output_sgc_new_events_joint_vp_relocation_fmm_min4_plus_shallow\data\xml_events\SGC2024pksixs.xml,4,,,-3.5276820650000005
SGC2023tcibjg,domain_20_120,2023-09-28T09:02:44.630000Z,6.5955,-73.60066667,116.42,-66.36780308712794,-45.028939999999956,116.42,1.487981697,0.4,19,CM,BAR2,20,EHZ,6.59,-73.18,-19.888242768128904,-45.64120000000001,2023-09-28T09:03:01.615560Z,16.98556,C:\Users\claudia.parra\Documents\Materias_romulo\investigacion\tomografia_localizacion_simultaneas\output_sgc_new_events_joint_vp_relocation_fmm_min4_plus_shallow\data\xml_events\SGC2023tcibjg.xml,5,,,-3.5360549090000006
SGC2023tmuazc,domain_20_120,2023-10-04T01:49:09.269999Z,6.590666667,-73.49283333,112.87,-54.45327172924967,-45.56698662956002,112.87,1.484261621,0.7,22,CM,BAR2,00,HHZ,6.59,-73.18,-19.888242768128904,-45.64120000000001,2023-10-04T01:49:24.369439Z,15.09944,C:\Users\claudia.parra\Documents\Materias_romulo\investigacion\tomografia_localizacion_simultaneas\output_sgc_new_events_joint_vp_relocation_fmm_min4_plus_shallow\data\xml_events\SGC2023tmuazc.xml,4,,,-3.547215137000002
SGC2026cfguwl,domain_20_120,2026-02-01T04:40:20.550000Z,6.7305,-73.5745,114.75,-63.476641501609066,-30.000739999999983,114.75,1.483136547,0.5,20,CM,VMM10,00,HHZ,6.77,-73.72,-79.55297107251248,-25.603600000000046,2026-02-01T04:40:36.532093Z,15.982093,C:\Users\claudia.parra\Documents\Materias_romulo\investigacion\tomografia_localizacion_simultaneas\output_sgc_new_events_joint_vp_relocation_fmm_min4_plus_shallow\data\xml_events\SGC2026cfguwl.xml,5,,,-3.550590359000001
SGC2026eohlkf,domain_20_120,2026-03-06T10:33:14.589999Z,7.061333333,-73.36083333,119.69,-39.86856036595671,6.827626629560036,119.69,1.478279197,0.3,18,CM,BRJC,00,HHZ,6.97,-73.74,-81.76277582452627,-3.3396000000000274,2026-03-06T10:33:31.081443Z,16.491444,C:\Users\claudia.parra\Documents\Materias_romulo\investigacion\tomografia_localizacion_simultaneas\output_sgc_new_events_joint_vp_relocation_fmm_min4_plus_shallow\data\xml_events\SGC2026eohlkf.xml,4,,,-3.565162408999999
SGC2024myplje,domain_20_120,2024-07-02T08:49:30.440000Z,7.767666667,-73.663,97.98,-73.25502752927167,85.45665337044002,97.98,1.464831789,0.7,22,CM,BRJC,00,HHZ,6.97,-73.74,-81.76277582452627,-3.3396000000000274,2024-07-02T08:49:47.134497Z,16.694497,C:\Users\claudia.parra\Documents\Materias_romulo\investigacion\tomografia_localizacion_simultaneas\output_sgc_new_events_joint_vp_relocation_fmm_min4_plus_shallow\data\xml_events\SGC2024myplje.xml,5,,,-3.605504632999999
SGC2025ytdces,domain_20_120,2025-12-17T08:30:46.030000Z,7.416333333,-73.41516667,113.62,-45.871864012196916,46.34622662955998,113.62,1.42961028,0.4,19,CM,BRJC,00,HHZ,6.97,-73.74,-81.76277582452627,-3.3396000000000274,2025-12-17T08:31:03.300908Z,17.270908,C:\Users\claudia.parra\Documents\Materias_romulo\investigacion\tomografia_localizacion_simultaneas\output_sgc_new_events_joint_vp_relocation_fmm_min4_plus_shallow\data\xml_events\SGC2025ytdces.xml,6,,,-3.7111691600000007
SGC2023qqaqaj,domain_20_120,2023-08-24T08:31:58.990000Z,6.541333333,-73.74016667,102.33,-81.78119123242705,-51.058773370440015,102.33,1.41585862,0.7,22,CM,BRJC,00,HHZ,6.97,-73.74,-81.76277582452627,-3.3396000000000274,2023-08-24T08:32:13.830191Z,14.840191,C:\Users\claudia.parra\Documents\Materias_romulo\investigacion\tomografia_localizacion_simultaneas\output_sgc_new_events_joint_vp_relocation_fmm_min4_plus_shallow\data\xml_events\SGC2023qqaqaj.xml,5,,,-3.7524241399999987
SGC2026bjpket,domain_20_120,2026-01-20T09:21:02.169999Z,6.388166667,-73.53833333,115.65,-59.48057754008252,-68.10928662955997,115.65,1.408306909,0.5,20,CM,VMM10,00,HHZ,6.77,-73.72,-79.55297107251248,-25.603600000000046,2026-01-20T09:21:18.843855Z,16.673856,C:\Users\claudia.parra\Documents\Materias_romulo\investigacion\tomografia_localizacion_simultaneas\output_sgc_new_events_joint_vp_relocation_fmm_min4_plus_shallow\data\xml_events\SGC2026bjpket.xml,4,,,-3.7750792729999993
SGC2023szxtfi,domain_20_120,2023-09-27T01:42:40.380000Z,7.582166667,-74.06133333,27.99,-117.26697180525444,64.80679337044,27.99,1.404959997,0.3,18,CM,BRJC,00,HHZ,6.97,-73.74,-81.76277582452627,-3.3396000000000274,2023-09-27T01:42:52.009703Z,11.629703,C:\Users\claudia.parra\Documents\Materias_romulo\investigacion\tomografia_localizacion_simultaneas\output_sgc_new_events_joint_vp_relocation_fmm_min4_plus_shallow\data\xml_events\SGC2023szxtfi.xml,5,,,-3.785120009
SGC2025zfsqjt,domain_20_120,2025-12-24T05:13:31.679999Z,7.599333333,-73.6555,98.24,-72.42635074726708,66.71778662955997,98.24,1.393460231,0.5,20,CM,VMM07,00,HHZ,7.36,-73.85,-93.91670196060453,40.07520000000003,2025-12-24T05:13:45.460307Z,13.780308,C:\Users\claudia.parra\Documents\Materias_romulo\investigacion\tomografia_localizacion_simultaneas\output_sgc_new_events_joint_vp_relocation_fmm_min4_plus_shallow\data\xml_events\SGC2025zfsqjt.xml,5,,,-3.819619307
SGC2024mwivws,domain_20_120,2024-07-01T03:21:33.869999Z,7.347333333,-73.86016667,87.02,-95.04001974451299,38.665146629559985,87.02,1.361930932,0.2,17,CM,BRJC,00,HHZ,6.97,-73.74,-81.76277582452627,-3.3396000000000274,2024-07-01T03:21:46.997853Z,13.127854,C:\Users\claudia.parra\Documents\Materias_romulo\investigacion\tomografia_localizacion_simultaneas\output_sgc_new_events_joint_vp_relocation_fmm_min4_plus_shallow\data\xml_events\SGC2024mwivws.xml,4,,,-3.914207204
SGC2023cdhrcc,domain_20_120,2023-01-31T02:57:12.130000Z,6.788,-73.56783333,118.07,-62.74003954930338,-23.59983999999997,118.07,1.322410595,0.7,22,CM,BRJC,00,HHZ,6.97,-73.74,-81.76277582452627,-3.3396000000000274,2023-01-31T02:57:29.408140Z,17.27814,C:\Users\claudia.parra\Documents\Materias_romulo\investigacion\tomografia_localizacion_simultaneas\output_sgc_new_events_joint_vp_relocation_fmm_min4_plus_shallow\data\xml_events\SGC2023cdhrcc.xml,4,,,-4.032768215000001
SGC2025rlquib,domain_20_120,2025-09-05T03:13:41.301583Z,7.8669243,-74.49843529,49.609375,-165.5624712213921,96.50601307599999,49.609375,1.954810401,0.9,23,CM,BRJC,00,HHZ,6.97,-73.74,-81.76277582452627,-3.3396000000000274,2025-09-05T03:14:02.092743Z,20.79116,C:\Users\claudia.parra\Documents\Materias_romulo\investigacion\tomografia_localizacion_simultaneas\output_sgc_new_events_joint_vp_relocation_fmm_min4_plus_shallow\data\xml_events\SGC2025rlquib.xml,4,,,-4.1355687969999995
SGC2022xlfwwf,domain_20_120,2022-11-28T21:22:57.109999Z,7.227166667,-73.46566667,26.57,-51.45162101103282,25.28819337043996,26.57,1.256706133,0.5,20,CM,BRJC,00,HHZ,6.97,-73.74,-81.76277582452627,-3.3396000000000274,2022-11-28T21:23:03.658969Z,6.54897,C:\Users\claudia.parra\Documents\Materias_romulo\investigacion\tomografia_localizacion_simultaneas\output_sgc_new_events_joint_vp_relocation_fmm_min4_plus_shallow\data\xml_events\SGC2022xlfwwf.xml,4,,,-4.229881600999999
