selection_group,gap_class,n_events,median_gap_deg,median_final_rms_s,median_depth_km,median_horizontal_uncertainty_km,median_depth_span_km,median_rms_improvement_s
bucaramanga_nest,gap_ge_180,99,219.997,0.2058444878932085,130.0,22.360679774997894,40.0,0.4345475664909176
bucaramanga_nest,gap_lt_180,201,134.97500000000002,0.2258840769703043,140.0,14.14213494938139,40.0,0.425834679599773
domain_20_120,gap_ge_180,917,226.709,0.2247113428110584,100.0,22.360679774997894,40.0,0.2951606224882692
domain_20_120,gap_lt_180,512,159.08500000000004,0.2455875071798718,120.0,14.14213494938139,30.0,0.30890589819256264
