event_id,n_picks,depth_km,selection_group,rms_residual_s,mad_residual_s,p90_abs_residual_s,median_residual_s,azimuthal_gap_deg,relocated_lat,relocated_lon,relocated_z_km,horizontal_shift_km,vertical_shift_km,total_shift_km,origin_time_shift_s,horizontal_uncertainty_0p20_km,depth_uncertainty_0p20_km,origin_time_uncertainty_0p20_s,sgc_rms_s,final_event_rms_s,rms_improvement_s,rms_improvement_percent,gap_class,nest_depth_class
SGC2025kgeyrg,8,130.0,domain_20_120,0.2943485470195646,0.1185299934076616,0.436326228224357,-0.0788145163502526,177.74899999999997,6.584915566864178,-73.5096897927841,130.0,0.0,0.0,0.0,0.1284391454466149,14.142138321129512,40.0,1.3095558910125829,0.8,0.2943485470195646,0.5056514529804355,63.20643162255443,gap_lt_180,deep_nest
SGC2023woxqbz,5,110.0,domain_20_120,0.1191643408921969,0.0853137507229851,0.1851346933587208,0.0111536028126053,236.57100000000003,6.405253331865975,-73.5096897927841,110.0,10.0,0.0,10.0,-0.562196569332631,22.36068148098264,40.0,0.7332658241252905,0.8,0.1191643408921969,0.6808356591078031,85.10445738847538,gap_ge_180,crustal_intermediate
SGC2026evkhtz,6,100.0,domain_20_120,0.1581301335871684,0.1967560679654939,0.2129033660926493,0.0387010216869656,133.28700000000003,7.123902263291825,-73.41918405927181,100.0,0.0,-10.0,10.0,0.8564752769388502,0.0,40.0,1.170179782179151,0.7,0.1581301335871684,0.5418698664128315,77.4099809161188,gap_lt_180,crustal_intermediate
SGC2025cphhdg,7,120.0,domain_20_120,0.2236887994743188,0.2894026706402196,0.2767574651985086,-0.0677210539746795,190.009,6.67474668436328,-73.5096897927841,120.0,0.0,0.0,0.0,0.2023041333433077,20.0,40.0,1.5110868724537925,0.8,0.2236887994743188,0.5763112005256812,72.03890006571015,gap_ge_180,deep_nest
SGC2023ysbwiu,6,110.0,domain_20_120,0.2113243187559411,0.2481515843095135,0.3153050693642835,-0.0566407365611407,240.43,6.315422214366873,-73.87171276135847,110.0,10.0,10.0,14.142135623730953,-1.0014855182019495,10.0,30.0,0.687090815318161,0.8,0.2113243187559411,0.5886756812440589,73.58446015550736,gap_ge_180,crustal_intermediate
SGC2026dkghty,7,140.0,domain_20_120,0.1939670697917606,0.3230753469327763,0.2848935351815072,0.0543987988162157,159.08500000000004,6.67474668436328,-73.60019556082159,140.0,14.142138321129512,10.0,17.320510278105544,-0.6534812799736898,22.36068148098264,40.0,1.2421122848759345,0.8,0.1939670697917606,0.6060329302082395,75.75411627602993,gap_lt_180,deep_nest
SGC2024fkcjjw,5,130.0,domain_20_120,0.1135291212158877,0.0577148531000512,0.1715144542743971,-0.0254104993313966,207.21000000000004,6.67474668436328,-73.60019556082159,130.0,10.000003814697266,10.0,14.142138321129512,-1.0557601153867964,22.36068148098264,40.0,1.7151562655230876,0.6,0.1135291212158877,0.4864708787841122,81.07847979735203,gap_ge_180,deep_nest
SGC2026dtybze,7,130.0,domain_20_120,0.1167632862269901,0.1330121487124271,0.1620401603442758,-0.0997103342560983,212.43,6.405253331865975,-73.60019556082159,130.0,0.0,0.0,0.0,0.1322127901728009,14.142135623730953,40.0,1.1261482275038606,0.6,0.1167632862269901,0.4832367137730098,80.53945229550165,gap_ge_180,deep_nest
SGC2024oxinjn,4,110.0,domain_20_120,0.2055741401366657,0.1200426970178267,0.3051555202563401,0.0325742468317411,159.08500000000004,6.67474668436328,-73.60019556082159,110.0,10.0,10.0,14.142135623730953,-1.0577409233532524,10.0,40.0,1.142550346534877,0.9,0.2055741401366657,0.6944258598633344,77.15842887370383,gap_lt_180,crustal_intermediate
SGC2023vrvoqa,6,130.0,domain_20_120,0.1003946142109172,0.1368909556774946,0.1338324678915139,0.0257577572214345,159.08500000000004,6.67474668436328,-73.60019556082159,130.0,0.0,10.0,10.0,-0.8955636323467271,0.0,40.0,1.2879995280428602,0.6,0.1003946142109172,0.4996053857890827,83.26756429818046,gap_lt_180,deep_nest
