station,static_s
BAR2,-0.3384143667679328
BRJC,0.12903281099296127
CPAM3,-0.06274508504822848
CPAMP,-0.2284103350132687
PAM,-0.2702873052040901
PDSC,-0.32522116619620894
PTB,0.2409138705029658
PTB1,0.20494367705394434
VMM05,0.8743219886996392
VMM07,0.11177601558281547
VMM09,-0.16386367782597486
VMM10,-0.10874617246398621
VMM11,-0.5795672440343708
VMM12,1.064470298926368
