event_id,round,n_picks,catalog_x_km,catalog_y_km,catalog_z_km,relocated_x_km,relocated_y_km,relocated_z_km,relocated_lat,relocated_lon,origin_time_shift_s,rms_before_s,rms_after_s,horizontal_shift_km,vertical_shift_km,total_shift_km
SGC2025kgeyrg,2,8,-56.31574630737305,-46.20719909667969,130.0,-56.31574630737305,-46.20719909667969,130.0,6.584915566864178,-73.5096897927841,0.12843914544661494,0.28146366183316607,0.28146366183316607,0.0,0.0,0.0
SGC2023woxqbz,2,5,-56.31574630737305,-56.20719909667969,110.0,-56.31574630737305,-66.20719909667969,110.0,6.405253331865975,-73.5096897927841,-0.562196569332631,0.21880925204058482,0.15652852633891254,10.0,0.0,10.0
SGC2026evkhtz,2,6,-46.31574630737305,13.792799949645996,110.0,-46.31574630737305,13.792799949645996,100.0,7.123902263291825,-73.41918405927181,0.8564752769388502,0.1784584616470856,0.1529389761885301,0.0,-10.0,10.0
SGC2025cphhdg,2,7,-56.31574630737305,-36.20719909667969,120.0,-56.31574630737305,-36.20719909667969,120.0,6.67474668436328,-73.5096897927841,0.20230413334330777,0.24286181371013515,0.24286181371013515,0.0,0.0,0.0
SGC2023ysbwiu,2,6,-96.31575012207031,-66.20719909667969,100.0,-96.31575012207031,-76.20719909667969,110.0,6.315422214366873,-73.87171276135847,-1.0014855182019495,0.23209831614307835,0.22872227817293345,10.0,10.0,14.142135623730951
SGC2026dkghty,2,7,-56.31574630737305,-46.20719909667969,130.0,-66.31575012207031,-36.20719909667969,140.0,6.67474668436328,-73.60019556082159,-0.6534812799736898,0.24454771412190965,0.23108536265946863,14.142138321129513,10.0,17.320510278105544
SGC2024fkcjjw,2,5,-56.31574630737305,-36.20719909667969,120.0,-66.31575012207031,-36.20719909667969,130.0,6.67474668436328,-73.60019556082159,-1.0557601153867964,0.23030171955748824,0.10594035029231327,10.000003814697266,10.0,14.142138321129513
SGC2026dtybze,2,7,-66.31575012207031,-66.20719909667969,130.0,-66.31575012207031,-66.20719909667969,130.0,6.405253331865975,-73.60019556082159,0.13221279017280096,0.10570428725683875,0.10570428725683875,0.0,0.0,0.0
SGC2024oxinjn,2,4,-66.31575012207031,-46.20719909667969,100.0,-66.31575012207031,-36.20719909667969,110.0,6.67474668436328,-73.60019556082159,-1.0577409233532524,0.19375096907707262,0.18273493443455963,10.0,10.0,14.142135623730951
SGC2023vrvoqa,2,6,-66.31575012207031,-36.20719909667969,120.0,-66.31575012207031,-36.20719909667969,130.0,6.67474668436328,-73.60019556082159,-0.8955636323467271,0.1783920549436358,0.16827494381247984,0.0,10.0,10.0
SGC2025vmsmyu,2,5,-66.31575012207031,-56.20719909667969,110.0,-76.31575012207031,-56.20719909667969,120.0,6.495084449365076,-73.69070129433389,-1.1683120419304487,0.29714130587410226,0.13415919614457808,10.0,10.0,14.142135623730951
SGC2023zkcyib,2,5,-56.31574630737305,-46.20719909667969,120.0,-56.31574630737305,-46.20719909667969,120.0,6.584915566864178,-73.5096897927841,0.14750429148250532,0.19072535210457053,0.19072535210457053,0.0,0.0,0.0
SGC2022uzixqk,2,5,-56.31574630737305,-46.20719909667969,130.0,-56.31574630737305,-46.20719909667969,140.0,6.584915566864178,-73.5096897927841,-1.012035599625122,0.31275929317479056,0.27118524817137984,0.0,10.0,10.0
SGC2024wtvgin,2,4,-56.31574630737305,-36.20719909667969,120.0,-56.31574630737305,-36.20719909667969,120.0,6.67474668436328,-73.5096897927841,0.12354974542464703,0.16991478534238477,0.16991478534238477,0.0,0.0,0.0
SGC2024gcqyzr,2,5,-76.31575012207031,-66.20719909667969,110.0,-76.31575012207031,-66.20719909667969,110.0,6.405253331865975,-73.69070129433389,0.06991767678656124,0.6383179376227706,0.6383179376227706,0.0,0.0,0.0
SGC2025vdwwrs,2,7,-66.31575012207031,73.79280090332031,100.0,-66.31575012207031,63.79280090332031,90.0,7.5730578593542965,-73.60019556082159,1.2618252391740334,0.24243655752774582,0.1822905211689595,10.0,-10.0,14.142135623730951
SGC2025lsvxjb,2,6,-56.31574630737305,-36.20719909667969,120.0,-56.31574630737305,-36.20719909667969,120.0,6.67474668436328,-73.5096897927841,0.059023895339835875,0.2546465992928511,0.2546465992928511,0.0,0.0,0.0
SGC2024zjklpi,2,6,-56.31574630737305,-46.20719909667969,130.0,-56.31574630737305,-36.20719909667969,120.0,6.67474668436328,-73.5096897927841,1.436335027944466,0.2893850281583893,0.21508651617781968,10.0,-10.0,14.142135623730951
SGC2025jflrnd,2,6,-86.31575012207031,23.792800903320312,110.0,-86.31575012207031,23.792800903320312,110.0,7.21373338935789,-73.78120702784618,0.10313871691202081,0.21153297164885182,0.21153297164885182,0.0,0.0,0.0
SGC2024onitvr,2,7,-66.31575012207031,-36.20719909667969,120.0,-66.31575012207031,-36.20719909667969,120.0,6.67474668436328,-73.60019556082159,-0.044685595925930244,0.32802379821196864,0.32802379821196864,0.0,0.0,0.0
SGC2025ecjjfr,2,6,-66.31575012207031,-56.20719909667969,110.0,-66.31575012207031,-46.20719909667969,100.0,6.584915566864178,-73.60019556082159,1.27807093813301,0.2665323758735992,0.10914012477586596,10.0,-10.0,14.142135623730951
SGC2025xxueyp,2,6,-76.31575012207031,-56.20719909667969,120.0,-76.31575012207031,-56.20719909667969,110.0,6.495084449365076,-73.69070129433389,0.8325078147838081,0.20919517278754043,0.1578682748038366,0.0,-10.0,10.0
SGC2026eywwqq,2,6,-76.31575012207031,-46.20719909667969,100.0,-76.31575012207031,-46.20719909667969,100.0,6.584915566864178,-73.69070129433389,0.06191281612882449,0.1372411576929036,0.1372411576929036,0.0,0.0,0.0
SGC2023vzpirs,2,8,-116.31575012207031,33.79280090332031,40.0,-116.31575012207031,33.79280090332031,50.0,7.303564506856992,-74.05272422838306,-0.06612742762914614,0.4788258410770781,0.3638837124491886,0.0,10.0,10.0
SGC2024qrnhfe,2,7,-66.31575012207031,-66.20719909667969,130.0,-66.31575012207031,-66.20719909667969,130.0,6.405253331865975,-73.60019556082159,0.17053676129732054,0.1652481562703051,0.1652481562703051,0.0,0.0,0.0
SGC2026exxida,2,5,-76.31575012207031,-66.20719909667969,120.0,-76.31575012207031,-56.20719909667969,110.0,6.495084449365076,-73.69070129433389,1.215163226584579,0.29459810565931077,0.29285488616949323,10.0,-10.0,14.142135623730951
SGC2025tmwskm,2,7,-56.31574630737305,33.79280090332031,110.0,-56.31574630737305,33.79280090332031,110.0,7.303564506856992,-73.5096897927841,0.15103418405355384,0.12375677440180051,0.12375677440180051,0.0,0.0,0.0
SGC2024ekhhas,2,5,-76.31575012207031,-56.20719909667969,120.0,-76.31575012207031,-46.20719909667969,110.0,6.584915566864178,-73.69070129433389,1.4373793117106075,0.09816152927658914,0.08178112310234521,10.0,-10.0,14.142135623730951
SGC2023wbejxq,2,6,-66.31575012207031,-76.20719909667969,120.0,-76.31575012207031,-66.20719909667969,130.0,6.405253331865975,-73.69070129433389,-0.15702309435028816,0.4203958846310212,0.13670348036591898,14.142135623730951,10.0,17.320508075688775
SGC2022yzdtke,2,5,-76.31575012207031,-56.20719909667969,120.0,-76.31575012207031,-56.20719909667969,120.0,6.495084449365076,-73.69070129433389,-0.0770721010714297,0.029353640539041874,0.029353640539041874,0.0,0.0,0.0
SGC2022yfcina,2,4,-56.31574630737305,-46.20719909667969,130.0,-66.31575012207031,-46.20719909667969,140.0,6.584915566864178,-73.60019556082159,-1.1613843692173162,0.29408173332073295,0.1225190626915063,10.000003814697266,10.0,14.142138321129513
SGC2023yrtdmq,2,5,-66.31575012207031,-76.20719909667969,90.0,-66.31575012207031,-76.20719909667969,80.0,6.315422214366873,-73.60019556082159,0.9699539902515859,0.17405584245919098,0.12694201501372243,0.0,-10.0,10.0
SGC2023qylyeu,2,7,-66.31575012207031,-66.20719909667969,120.0,-76.31575012207031,-56.20719909667969,130.0,6.495084449365076,-73.69070129433389,-0.5186211803180107,0.357640660516839,0.10412639200116285,14.142135623730951,10.0,17.320508075688775
SGC2024pkfxmx,2,6,-66.31575012207031,-76.20719909667969,120.0,-76.31575012207031,-66.20719909667969,130.0,6.405253331865975,-73.69070129433389,-0.1992168765640816,0.3237310150156855,0.20781292705120324,14.142135623730951,10.0,17.320508075688775
SGC2024aqxgtc,2,7,-56.31574630737305,-36.20719909667969,120.0,-66.31575012207031,-36.20719909667969,130.0,6.67474668436328,-73.60019556082159,-1.0891293249850804,0.25676739491515044,0.2494568535636648,10.000003814697266,10.0,14.142138321129513
SGC2023yteipo,2,7,-36.31574630737305,-26.207199096679688,130.0,-46.31574630737305,-16.207199096679688,140.0,6.854408919361483,-73.41918405927181,-0.056749050231637455,0.25365083764751334,0.19507034023934308,14.142135623730951,10.0,17.320508075688775
SGC2025dpitar,2,6,-96.31575012207031,-26.207199096679688,90.0,-106.31575012207031,-26.207199096679688,100.0,6.764577801862382,-73.96221849487077,-1.1642676260517124,0.2396355431423573,0.18877816203261943,10.0,10.0,14.142135623730951
SGC2023ymlbqd,2,6,-66.31575012207031,-66.20719909667969,100.0,-66.31575012207031,-66.20719909667969,100.0,6.405253331865975,-73.60019556082159,0.003988822565711203,0.1961251978866224,0.1961251978866224,0.0,0.0,0.0
SGC2023aquzjv,2,6,-76.31575012207031,-56.20719909667969,120.0,-76.31575012207031,-56.20719909667969,120.0,6.495084449365076,-73.69070129433389,0.053217290044228704,0.09441388234015635,0.09441388234015635,0.0,0.0,0.0
SGC2023tagwzz,2,7,-66.31575012207031,-76.20719909667969,120.0,-66.31575012207031,-76.20719909667969,120.0,6.315422214366873,-73.60019556082159,-0.028036313425403137,0.15441573579270926,0.15441573579270926,0.0,0.0,0.0
SGC2022zdncla,2,4,-146.3157501220703,-46.20719909667969,50.0,-136.3157501220703,-36.20719909667969,60.0,6.67474668436328,-74.23373569540765,1.6445382161020774,2.7981313355283093,0.9827312153458347,14.142135623730951,10.0,17.320508075688775
SGC2024pyionv,2,7,-76.31575012207031,-56.20719909667969,120.0,-76.31575012207031,-56.20719909667969,120.0,6.495084449365076,-73.69070129433389,0.12959426386000317,0.1784714136195385,0.1784714136195385,0.0,0.0,0.0
SGC2023wlnqql,2,8,-36.31574630737305,23.792800903320312,40.0,-46.31574630737305,33.79280090332031,30.0,7.303564506856992,-73.41918405927181,-0.46470990414543856,0.4057739086409547,0.2899725436305863,14.142135623730951,-10.0,17.320508075688775
SGC2023vqhrub,2,6,-76.31575012207031,-56.20719909667969,120.0,-76.31575012207031,-56.20719909667969,120.0,6.495084449365076,-73.69070129433389,0.04059813691497993,0.07689795388365936,0.07689795388365936,0.0,0.0,0.0
SGC2023mvchuq,2,4,-56.31574630737305,-36.20719909667969,120.0,-66.31575012207031,-36.20719909667969,130.0,6.67474668436328,-73.60019556082159,-1.0959747969312676,0.22033304725882,0.1941569898895877,10.000003814697266,10.0,14.142138321129513
SGC2024ujupvr,2,7,-96.31575012207031,23.792800903320312,90.0,-86.31575012207031,13.792799949645996,90.0,7.123902263291825,-73.78120702784618,1.1730691222470213,0.6536379667734642,0.5785488157576857,14.142136298080542,0.0,14.142136298080542
SGC2025wvcvfj,2,7,-116.31575012207031,63.79280090332031,60.0,-116.31575012207031,53.79280090332031,50.0,7.483226741855195,-74.05272422838306,0.8023161419418621,0.5372988522460255,0.28664648889273553,10.0,-10.0,14.142135623730951
SGC2023xinscn,2,5,-56.31574630737305,-46.20719909667969,120.0,-56.31574630737305,-46.20719909667969,120.0,6.584915566864178,-73.5096897927841,0.04453594826659568,0.09496849930173068,0.09496849930173068,0.0,0.0,0.0
SGC2025wthywj,2,5,-56.31574630737305,-36.20719909667969,130.0,-66.31575012207031,-36.20719909667969,140.0,6.67474668436328,-73.60019556082159,-1.0828535254137712,0.289414462147894,0.28268618315067684,10.000003814697266,10.0,14.142138321129513
SGC2023ywaauj,2,5,-76.31575012207031,-76.20719909667969,110.0,-76.31575012207031,-76.20719909667969,110.0,6.315422214366873,-73.69070129433389,0.08121458092678324,0.06916825202284808,0.06916825202284808,0.0,0.0,0.0
SGC2024wrxjva,2,4,-146.3157501220703,-76.20719909667969,40.0,-136.3157501220703,-66.20719909667969,50.0,6.405253331865975,-74.23373569540765,1.6501124474469364,0.160665266671434,0.1156083055790331,14.142135623730951,10.0,17.320508075688775
SGC2023vfdfoj,2,6,-46.31574630737305,-26.207199096679688,120.0,-46.31574630737305,-26.207199096679688,130.0,6.764577801862382,-73.41918405927181,-0.7993595870618151,0.17345072593379318,0.14227881678043003,0.0,10.0,10.0
SGC2023teoiha,2,7,-96.31575012207031,83.79280090332031,70.0,-96.31575012207031,73.79280090332031,70.0,7.662888976853399,-73.87171276135847,0.9037654328671181,0.3048386697094355,0.26016247499392753,10.0,0.0,10.0
SGC2024gkucty,2,5,-76.31575012207031,-46.20719909667969,110.0,-86.31575012207031,-46.20719909667969,120.0,6.584915566864178,-73.78120702784618,-1.272902723549823,0.351032344556695,0.33867748776463413,10.0,10.0,14.142135623730951
