event_id,n_picks,depth_km,azimuthal_gap_deg,min_local_rms_s,candidate_nodes,accepted_nodes_delta_0p20s,accepted_nodes_delta_0p10s,horizontal_uncertainty_0p20_km,depth_uncertainty_0p20_km,origin_time_uncertainty_0p20_s,horizontal_uncertainty_0p10_km,depth_uncertainty_0p10_km,origin_time_uncertainty_0p10_s
SGC2026eywwqq,6,100.0,259.045,0.15368707697439435,125,9,3,22.360679774997898,30.0,1.3256684311903446,22.360679774997898,20.0,1.2944507272702517
SGC2023vzpirs,8,50.0,239.03000000000003,0.28602888229260476,125,8,3,14.142135623730951,30.0,0.5160240087390491,10.0,10.0,0.2049700847583563
SGC2024qrnhfe,7,130.0,212.43,0.15764511173587148,100,17,5,22.360679774997898,40.0,1.2640788543059993,14.142135623730951,20.0,0.7676245973177998
SGC2026exxida,5,110.0,274.568,0.2970471866319016,125,23,10,22.360679774997898,40.0,1.7477992127090813,22.360679774997898,40.0,1.866349787054165
SGC2025tmwskm,7,110.0,214.29399999999998,0.13551372218567626,125,4,4,0.0,30.0,0.8925837961743154,0.0,30.0,0.8925837961743154
SGC2024ekhhas,5,110.0,261.646,0.08043308738205873,125,16,7,22.360679774997898,40.0,1.61761025334592,20.0,40.0,1.7273111823448346
SGC2023wbejxq,6,130.0,209.552,0.12493614548928675,100,11,3,10.0,40.0,1.4051632922387167,0.0,20.0,0.7823791344173107
SGC2022yzdtke,5,120.0,193.469,0.09972116572981539,125,6,3,10.0,30.0,0.9645470218420674,0.0,20.0,0.6068757380079682
SGC2022yfcina,4,140.0,250.882,0.044756648536745804,125,7,2,14.142138321129513,40.0,1.7191414860626013,0.0,10.0,0.5045118933263808
SGC2023yrtdmq,5,80.0,242.822,0.13914465255682948,75,7,4,22.360679774997898,40.0,0.9392703024110425,0.0,30.0,0.7803285563995275
SGC2023qylyeu,7,130.0,193.469,0.13246593125976855,125,9,2,10.0,40.0,1.356686595538402,0.0,10.0,0.4355727481358933
SGC2024pkfxmx,6,130.0,209.552,0.1790538113507888,100,10,4,14.142135623730951,40.0,1.235216940498974,10.0,20.0,0.8895514213420649
SGC2024aqxgtc,7,130.0,207.21000000000004,0.21487011082793805,125,20,9,22.360681480982638,40.0,1.581730570926727,14.142138321129513,40.0,1.6057227664183722
SGC2023yteipo,7,140.0,183.534,0.08607030951925887,125,8,3,22.36067892200566,30.0,0.7217138468958374,0.0,20.0,0.8677233742147554
SGC2025dpitar,6,100.0,267.923,0.1294982950900919,125,13,5,22.360679774997898,40.0,1.6907659071371228,22.360679774997898,30.0,1.552746356778401
SGC2023ymlbqd,6,100.0,234.07,0.18582216716908423,100,10,8,10.0,40.0,0.9212858081274596,10.0,30.0,0.777481994347902
SGC2023aquzjv,6,120.0,193.469,0.1620943038557855,125,7,6,20.0,30.0,1.0348956504001645,10.0,30.0,0.8308729889656805
SGC2023tagwzz,7,120.0,227.693,0.2234131923225594,75,14,5,22.360679774997898,30.0,0.9951797643728737,14.142135623730951,30.0,0.6026654447052978
SGC2022zdncla,4,60.0,179.89499999999998,0.3171969442593072,125,12,6,22.360679774997898,20.0,0.5399261853652028,22.360679774997898,10.0,0.4010027263040122
SGC2024pyionv,7,120.0,193.469,0.22225646872295401,125,12,4,20.0,30.0,1.1850954578658146,10.0,20.0,0.8021927743353472
SGC2023wlnqql,8,30.0,210.918,0.28058291720447126,100,6,4,14.142135623730951,30.0,0.3309046393372227,14.142135623730951,30.0,0.09703905743447191
SGC2023vqhrub,6,120.0,193.469,0.15333562219348593,125,8,6,10.0,30.0,0.9350614278797904,10.0,30.0,0.9382167825414301
SGC2023mvchuq,4,130.0,233.34199999999998,0.1825725839310213,125,17,9,20.0,40.0,1.5577757428772416,14.142138321129513,40.0,1.6740150738903785
SGC2024ujupvr,7,90.0,208.62699999999995,0.584289083819672,125,17,9,22.360680627990142,40.0,0.8382758932430319,14.142136298080542,30.0,0.7561735142241721
SGC2025wvcvfj,7,50.0,251.25,0.2569208302457297,125,10,7,22.360679774997898,30.0,0.6335960744973232,22.360679774997898,30.0,0.5871800066030787
SGC2023xinscn,5,120.0,219.767,0.14149583407516442,125,11,8,14.142138321129513,30.0,0.8634910426940862,14.142138321129513,30.0,0.8187825236204587
SGC2025wthywj,5,140.0,159.08500000000004,0.20428098023075633,125,15,5,22.360681480982638,40.0,1.3464769915068424,14.142138321129513,30.0,1.1154428653335646
SGC2023ywaauj,5,110.0,242.119,0.07446674718358706,75,4,2,10.0,20.0,0.5740596730969251,0.0,10.0,0.37684777054048446
SGC2024wrxjva,4,50.0,320.96799999999996,0.07777835674592207,100,36,20,28.284271247461902,30.0,1.7762118834036982,28.284271247461902,30.0,1.835103229438681
SGC2023vfdfoj,6,130.0,131.03300000000002,0.16008494196164233,125,7,3,14.142135623730951,30.0,0.9343477250660617,0.0,20.0,0.6407041292939271
SGC2023teoiha,7,70.0,256.51500000000004,0.22712908394793352,125,13,6,22.360679774997898,40.0,0.827568721389982,22.360679774997898,40.0,0.5916753256872815
SGC2024gkucty,5,120.0,288.66,0.290063700698982,125,36,14,28.284271247461902,40.0,1.889773674733714,22.360679774997898,40.0,1.9198591703281
SGC2024uqedjr,5,120.0,193.469,0.13329735670679965,125,8,3,10.0,30.0,1.0489096196991492,0.0,20.0,0.8062556639093121
SGC2022vhzdmg,4,50.0,287.878,0.1623246046141976,125,15,8,22.360679774997898,30.0,1.366139852193608,22.360679774997898,20.0,1.0540686360217437
SGC2023jfwrtn,5,130.0,159.08500000000004,0.1832760612250406,125,10,4,14.142138321129513,40.0,1.2202965014196825,0.0,30.0,1.0275671842318794
SGC2025yuczzx,8,110.0,176.695,0.26227956234218985,125,14,6,20.0,30.0,0.9498648628007882,10.0,30.0,0.8423630488372975
SGC2026afswai,7,80.0,192.608,0.23428099024583995,125,8,3,14.142135623730951,30.0,0.8979420992460504,10.0,10.0,0.4666605495102293
SGC2023ycjape,5,120.0,234.83100000000002,0.057287906344878015,100,7,3,10.0,40.0,1.0315846481059507,0.0,20.0,0.6232485957655177
SGC2024mnouax,7,130.0,209.552,0.34450101458367927,100,14,9,14.142135623730951,40.0,1.2771024275064058,10.0,30.0,1.2475487005104409
SGC2025zqwcsx,8,130.0,212.43,0.1541527611982254,100,10,4,10.0,40.0,1.3282718121693624,10.0,20.0,0.877005494185023
SGC2023vkrrvz,7,130.0,159.08500000000004,0.16311500947525515,125,8,3,22.360681480982638,30.0,1.0726330222951868,0.0,20.0,0.7635862637335586
SGC2023ajetdo,7,140.0,159.08500000000004,0.12921219249776877,125,8,3,14.142138321129513,40.0,1.3953414050295836,0.0,20.0,0.7835408140716288
SGC2023mlmecb,4,120.0,263.33299999999997,0.0892176250290688,125,10,2,22.360679774997898,40.0,1.6434690122649853,0.0,10.0,0.37354642516703684
SGC2023zicuzp,5,130.0,201.02500000000003,0.1555813839449275,125,15,10,22.360681480982638,40.0,1.2079745995939402,22.360681480982638,30.0,0.8988685370544595
SGC2023xctbrz,5,110.0,232.576,0.2069857376518443,100,6,4,10.0,20.0,0.6928377366523313,10.0,20.0,0.7824667482068989
SGC2025kuyfzb,6,100.0,153.40800000000002,0.20982631850688546,125,6,4,10.0,30.0,0.9292057642090752,10.0,20.0,0.7441725821431484
SGC2022uzdcga,6,130.0,177.74899999999997,0.2732620465453695,125,16,7,14.142138321129513,30.0,1.0359530225001592,14.142138321129513,30.0,1.0856616008584397
SGC2026dktcye,6,130.0,159.08500000000004,0.19321256320299804,125,11,5,22.360681480982638,30.0,1.0298739500784968,14.142138321129513,20.0,0.7949017198635373
SGC2023tvuaug,7,130.0,159.08500000000004,0.16842244687625865,125,12,4,22.360681480982638,40.0,1.1896042601515906,0.0,30.0,1.0125224066764344
SGC2026ajmphg,8,140.0,138.122,0.25328642296280673,125,17,9,22.360679774997898,40.0,1.3959109106811354,14.142135623730951,30.0,1.01507450887084
SGC2024sesgmg,5,130.0,212.43,0.2091256480867166,100,20,7,22.360679774997898,40.0,1.2096191501969553,14.142135623730951,20.0,0.7796023938562747
SGC2024mgtlor,6,20.0,201.95899999999997,0.3149646486146917,75,3,1,14.142135623730951,0.0,0.20267092045079313,0.0,0.0,0.0
SGC2022vkzqzd,5,130.0,217.733,0.2776772854007845,125,15,8,22.360681480982638,40.0,1.7026692008926754,10.0,40.0,1.5543704903478512
