event_id,round,n_picks,catalog_x_km,catalog_y_km,catalog_z_km,x_km,y_km,depth_km,lat,lon,origin_time_shift_s,rms_before_s,rms_after_s,horizontal_shift_km,vertical_shift_km,total_shift_km,vp_final_km_s,dvp_percent,vp_active,hit_count
SGC2025kgeyrg,2,8,-56.31574630737305,-46.20719909667969,130.0,-56.31574630737305,-46.20719909667969,130.0,6.584915566864178,-73.5096897927841,0.1284391454466149,0.281463661833166,0.281463661833166,0.0,0.0,0.0,9.216851045177766,1.4626048901207107,True,157
SGC2023woxqbz,2,5,-56.31574630737305,-56.20719909667969,110.0,-56.31574630737305,-66.20719909667969,110.0,6.405253331865975,-73.5096897927841,-0.562196569332631,0.2188092520405848,0.1565285263389125,10.0,0.0,10.0,9.234334446752417,0.35351691731058316,True,20
SGC2026evkhtz,2,6,-46.31574630737305,13.792799949645996,110.0,-46.31574630737305,13.792799949645996,100.0,7.123902263291825,-73.41918405927181,0.8564752769388502,0.1784584616470856,0.1529389761885301,0.0,-10.0,10.0,8.051847671987126,0.25210012347292654,True,40
SGC2025cphhdg,2,7,-56.31574630737305,-36.20719909667969,120.0,-56.31574630737305,-36.20719909667969,120.0,6.67474668436328,-73.5096897927841,0.2023041333433077,0.2428618137101351,0.2428618137101351,0.0,0.0,0.0,9.371813750408354,3.16849333905486,True,126
SGC2023ysbwiu,2,6,-96.31575012207033,-66.20719909667969,100.0,-96.31575012207033,-76.20719909667969,110.0,6.315422214366873,-73.87171276135847,-1.0014855182019495,0.2320983161430783,0.2287222781729334,10.0,10.0,14.142135623730953,9.083988189697266,0.0,False,6
SGC2026dkghty,2,7,-56.31574630737305,-46.20719909667969,130.0,-66.31575012207031,-36.20719909667969,140.0,6.67474668436328,-73.60019556082159,-0.6534812799736898,0.2445477141219096,0.2310853626594686,14.142138321129512,10.0,17.320510278105544,8.324317074206332,0.5352336070575954,True,42
SGC2024fkcjjw,2,5,-56.31574630737305,-36.20719909667969,120.0,-66.31575012207031,-36.20719909667969,130.0,6.67474668436328,-73.60019556082159,-1.0557601153867964,0.2303017195574882,0.1059403502923132,10.000003814697266,10.0,14.142138321129512,8.843973386553555,0.765349896576419,True,241
SGC2026dtybze,2,7,-66.31575012207031,-66.20719909667969,130.0,-66.31575012207031,-66.20719909667969,130.0,6.405253331865975,-73.60019556082159,0.1322127901728009,0.1057042872568387,0.1057042872568387,0.0,0.0,0.0,9.397954678917197,3.4562626311648064,True,125
SGC2024oxinjn,2,4,-66.31575012207031,-46.20719909667969,100.0,-66.31575012207031,-36.20719909667969,110.0,6.67474668436328,-73.60019556082159,-1.0577409233532524,0.1937509690770726,0.1827349344345596,10.0,10.0,14.142135623730953,7.944767542910266,0.7375873525895078,True,97
SGC2023vrvoqa,2,6,-66.31575012207031,-36.20719909667969,120.0,-66.31575012207031,-36.20719909667969,130.0,6.67474668436328,-73.60019556082159,-0.8955636323467271,0.1783920549436358,0.1682749438124798,0.0,10.0,10.0,8.843973386553555,0.765349896576419,True,241
SGC2025vmsmyu,2,5,-66.31575012207031,-56.20719909667969,110.0,-76.31575012207031,-56.20719909667969,120.0,6.495084449365076,-73.69070129433389,-1.168312041930449,0.2971413058741022,0.134159196144578,10.0,10.0,14.142135623730953,9.252968523944665,1.860199845251345,True,143
SGC2023zkcyib,2,5,-56.31574630737305,-46.20719909667969,120.0,-56.31574630737305,-46.20719909667969,120.0,6.584915566864178,-73.5096897927841,0.1475042914825053,0.1907253521045705,0.1907253521045705,0.0,0.0,0.0,9.050654387282263,-0.3669511861850363,True,170
SGC2022uzixqk,2,5,-56.31574630737305,-46.20719909667969,130.0,-56.31574630737305,-46.20719909667969,140.0,6.584915566864178,-73.5096897927841,-1.012035599625122,0.3127592931747905,0.2711852481713798,0.0,10.0,10.0,8.878080264924312,1.1539525509144144,True,57
SGC2024wtvgin,2,4,-56.31574630737305,-36.20719909667969,120.0,-56.31574630737305,-36.20719909667969,120.0,6.67474668436328,-73.5096897927841,0.123549745424647,0.1699147853423847,0.1699147853423847,0.0,0.0,0.0,9.371813750408354,3.16849333905486,True,126
SGC2024gcqyzr,2,5,-76.31575012207031,-66.20719909667969,110.0,-76.31575012207031,-66.20719909667969,110.0,6.405253331865975,-73.69070129433389,0.0699176767865612,0.6383179376227706,0.6383179376227706,0.0,0.0,0.0,9.994054662220062,1.865008310119387,True,88
SGC2025vdwwrs,2,7,-66.31575012207031,73.79280090332031,100.0,-66.31575012207031,63.79280090332031,90.0,7.573057859354296,-73.60019556082159,1.2618252391740334,0.2424365575277458,0.1822905211689595,10.0,-10.0,14.142135623730953,8.398062366730143,-4.672694557985977,True,35
SGC2025lsvxjb,2,6,-56.31574630737305,-36.20719909667969,120.0,-56.31574630737305,-36.20719909667969,120.0,6.67474668436328,-73.5096897927841,0.0590238953398358,0.2546465992928511,0.2546465992928511,0.0,0.0,0.0,9.371813750408354,3.16849333905486,True,126
SGC2024zjklpi,2,6,-56.31574630737305,-46.20719909667969,130.0,-56.31574630737305,-36.20719909667969,120.0,6.67474668436328,-73.5096897927841,1.436335027944466,0.2893850281583893,0.2150865161778196,10.0,-10.0,14.142135623730953,9.371813750408354,3.16849333905486,True,126
SGC2025jflrnd,2,6,-86.31575012207031,23.792800903320312,110.0,-86.31575012207031,23.792800903320312,110.0,7.21373338935789,-73.78120702784618,0.1031387169120208,0.2115329716488518,0.2115329716488518,0.0,0.0,0.0,8.776800155639648,0.0,False,17
SGC2024onitvr,2,7,-66.31575012207031,-36.20719909667969,120.0,-66.31575012207031,-36.20719909667969,120.0,6.67474668436328,-73.60019556082159,-0.0446855959259302,0.3280237982119686,0.3280237982119686,0.0,0.0,0.0,9.163566173883268,0.876024742923565,True,198
SGC2025ecjjfr,2,6,-66.31575012207031,-56.20719909667969,110.0,-66.31575012207031,-46.20719909667969,100.0,6.584915566864178,-73.60019556082159,1.27807093813301,0.2665323758735992,0.1091401247758659,10.0,-10.0,14.142135623730953,11.358043568211874,-1.721698279619815,True,156
