event_id,event_final_rms_s_preferred,event_final_rms_s_1d
SGC2022artrvc,0.16824901504211465,0.22089164245872625
SGC2022atuhog,0.1828588255635519,0.3152994560239514
SGC2022ebwimr,0.21497636966787453,0.12128006045386505
SGC2022eerayx,0.1740198427153086,0.19829716623785082
SGC2022ejorkx,0.18007541706967325,0.3596215154985854
SGC2022ejuxbk,0.16792981010651647,0.3107057005889471
SGC2022ekfcwe,0.1592309333473892,0.21771265269562332
SGC2022eufbly,0.2143888317362798,0.3006682797149486
SGC2022fvcttj,0.04946978813709977,0.2148842576163007
SGC2022gsqhpp,0.1153358820711124,0.3454307211892281
SGC2022gsypmc,0.30762140881232863,0.4094358053121899
SGC2022hbejng,0.22022195746691609,0.3050750137930501
SGC2022hkfulx,0.32857839650950454,0.4389879694442629
SGC2022hytacc,0.2973503593452905,0.5058888534616509
SGC2022idsong,0.25822910728605253,0.39364711071349057
SGC2022isghxb,0.6236476277788012,0.49101680608668397
SGC2022ivxqti,0.40417222772769257,0.40814611487345986
SGC2022iwexvy,0.3499410423973417,0.41449284342217557
SGC2022jqatwp,0.9244992733829396,0.8398066279722932
SGC2022jqkomn,0.07939526938209227,0.3040926935706593
SGC2022jsbjmc,0.3281736380742298,0.3375463047316589
SGC2022kfnnrf,0.36655030157296026,0.36342118158126085
SGC2022kfsawo,0.653869840545158,0.6272712722638831
SGC2022klcexz,0.19017461862404134,0.28819663947663343
SGC2022klllct,0.3082946623698835,0.13999761518483764
SGC2022klqcfi,0.27272150061777856,0.1535944482428314
SGC2022krvcyw,0.40016266770689474,0.3446862518274177
SGC2022lejpvt,0.24771630668022707,0.22765518781240227
SGC2022lfhxlh,0.1380883953625549,0.15355101670291005
SGC2022libmnm,0.31934631065543206,0.3048268427924802
SGC2022lvdnwz,0.27086141713408945,0.3458134471722145
SGC2022mkdbmg,0.3437138706066735,0.25325533814092055
SGC2022mpwlsg,0.18281657199566187,0.2406424143880004
SGC2022ndxefy,0.13697312627652136,0.3533213487940435
SGC2022njhkeb,0.29909562404768786,0.36107508467848615
SGC2022obwjqd,0.1932750197422842,0.27413682691543756
SGC2022opvetu,0.30189983624979505,0.24887841350984327
SGC2022pkzwpk,0.3444358045880073,0.2544149195570508
SGC2022qlkvra,0.26767739679545693,0.25125663475339655
SGC2022reqafp,0.24725098044749858,0.4737755945795844
SGC2022reqbqc,0.44297548782134727,0.44343006425974696
SGC2022rfeklc,0.3395824985742003,0.3124565634712411
SGC2022rkgswz,0.44656295589487305,0.5203809651293485
SGC2022rksozr,0.2879725612299672,0.38231790691924217
SGC2022rmddhb,0.343969970326696,0.30466184939248075
SGC2022rmxeev,0.22953864476106048,0.35306089221697134
