gap_class,n_events,median_n_picks,median_gap_deg,median_catalog_rms_s,median_final_rms_s,median_rms_improvement_s,median_horizontal_uncertainty_km,median_depth_span_km,median_total_shift_km
gap_ge_180,1016,5.0,226.198,0.6,0.2216453999606055,0.3088467209511646,22.360679774997894,40.0,10.0
gap_lt_180,713,5.0,156.937,0.6,0.2369039366384351,0.3546396067667756,14.14213494938139,30.0,10.0
