event_id,n_picks,depth_km,selection_group,rms_residual_s,mad_residual_s,p90_abs_residual_s,median_residual_s,azimuthal_gap_deg
SGC2025kgeyrg,8,130.0,domain_20_120,0.29434854701956464,0.11852999340766167,0.436326228224357,-0.07881451635025269,177.74899999999997
SGC2023woxqbz,5,110.0,domain_20_120,0.11916434089219693,0.08531375072298518,0.18513469335872085,0.0111536028126053,236.57100000000003
SGC2026evkhtz,6,100.0,domain_20_120,0.15813013358716846,0.19675606796549397,0.21290336609264934,0.03870102168696565,133.28700000000003
SGC2025cphhdg,7,120.0,domain_20_120,0.22368879947431886,0.28940267064021963,0.2767574651985086,-0.0677210539746795,190.00900000000001
SGC2023ysbwiu,6,110.0,domain_20_120,0.21132431875594118,0.24815158430951356,0.31530506936428354,-0.0566407365611407,240.42999999999998
SGC2026dkghty,7,140.0,domain_20_120,0.19396706979176062,0.32307534693277634,0.28489353518150723,0.0543987988162157,159.08500000000004
SGC2024fkcjjw,5,130.0,domain_20_120,0.11352912121588776,0.05771485310005126,0.1715144542743971,-0.0254104993313966,207.21000000000004
SGC2026dtybze,7,130.0,domain_20_120,0.11676328622699017,0.13301214871242711,0.1620401603442758,-0.0997103342560983,212.43
SGC2024oxinjn,4,110.0,domain_20_120,0.2055741401366657,0.12004269701782679,0.30515552025634013,0.0325742468317411,159.08500000000004
SGC2023vrvoqa,6,130.0,domain_20_120,0.10039461421091726,0.13689095567749465,0.1338324678915139,0.025757757221434502,159.08500000000004
SGC2025vmsmyu,5,120.0,domain_20_120,0.1452777806230407,0.1946327429147255,0.21153457035319714,0.0408945070842357,274.568
SGC2023zkcyib,5,120.0,domain_20_120,0.1409839625653955,0.0409925979225569,0.22160547974601527,0.0135388675636427,219.08499999999998
SGC2022uzixqk,5,140.0,domain_20_120,0.2826581560680472,0.2182424790582896,0.44053292574113884,0.0230008709288007,177.74899999999997
SGC2024wtvgin,4,120.0,domain_20_120,0.17368885423038455,0.15107235228936522,0.23608163568806934,0.06521599298490875,217.733
SGC2024gcqyzr,5,110.0,domain_20_120,0.6121908555273199,0.7552837155365673,0.9177311730742936,0.0895856209703662,285.467
SGC2025vdwwrs,7,90.0,domain_20_120,0.23687277689323194,0.20231586491473894,0.37083872551719566,-0.0156891921141699,242.13799999999998
SGC2025lsvxjb,6,120.0,domain_20_120,0.25759855009671434,0.32490371448395433,0.33168718418904497,0.05845829602820625,190.00900000000001
SGC2024zjklpi,6,120.0,domain_20_120,0.18383717855286932,0.09446787333330126,0.29012765343410324,0.0652159929849087,217.733
SGC2025jflrnd,6,110.0,domain_20_120,0.17607646805003999,0.2138073580397874,0.26095080870288,-0.061415692674967354,164.502
SGC2024onitvr,7,120.0,domain_20_120,0.30750828154588966,0.3786156345187824,0.4446530438875442,0.0521064185882274,159.08500000000004
SGC2025ecjjfr,6,100.0,domain_20_120,0.14976189342547985,0.09919887747095611,0.22098232670810253,0.048814566324596145,237.97799999999995
SGC2025xxueyp,6,110.0,domain_20_120,0.2303937564449645,0.10800541865608862,0.3673803406139182,0.0647874679883573,193.469
SGC2026eywwqq,6,100.0,domain_20_120,0.18787845369799705,0.11159719548665606,0.2938889495819268,0.0618173818243663,259.045
SGC2023vzpirs,8,50.0,domain_20_120,0.3991974827896378,0.47836703967949196,0.5432908085131486,-0.0446078405813122,239.03000000000003
SGC2024qrnhfe,7,130.0,domain_20_120,0.15597117410125905,0.12552478903426725,0.25556775912758667,-0.0752765148244876,212.43
SGC2026exxida,5,110.0,domain_20_120,0.3046506647187251,0.09141820565843309,0.4694347763449983,0.0870611289709835,274.568
SGC2025tmwskm,7,110.0,domain_20_120,0.13301897839149662,0.12507358561208445,0.2135496678975805,0.0429794684264521,214.29399999999998
SGC2024ekhhas,5,110.0,domain_20_120,0.1332531873892725,0.05621069018795788,0.19686174011503538,0.0610744081902829,261.646
SGC2023wbejxq,6,130.0,domain_20_120,0.11753600579369053,0.08602530225178409,0.17213745980081005,0.02687617171304875,209.552
SGC2022yzdtke,5,120.0,domain_20_120,0.0922805932346047,0.09938230699445325,0.11503114170847652,0.0408945070842357,193.469
SGC2022yfcina,4,140.0,domain_20_120,0.14877704662453087,0.1863367085618608,0.204849929405119,0.05123519334377845,250.882
SGC2023yrtdmq,5,80.0,domain_20_120,0.15168674153905162,0.06312144479592821,0.22769153919019797,0.0062423821438351,242.822
SGC2023qylyeu,7,130.0,domain_20_120,0.129564118667065,0.08498199880139097,0.18402978751965973,-0.0349786404785881,193.469
SGC2024pkfxmx,6,130.0,domain_20_120,0.17581883932368927,0.15494929844463592,0.26184714240800133,-0.03759633649572785,209.552
SGC2024aqxgtc,7,130.0,domain_20_120,0.2814559335545395,0.1401345725624532,0.4990402527047579,0.0183189714389584,207.21000000000004
SGC2023yteipo,7,140.0,domain_20_120,0.2071968253749915,0.2168952388223278,0.33107408774769737,-0.0899860541207751,183.534
SGC2025dpitar,6,100.0,domain_20_120,0.15970374524426184,0.21011959618574888,0.20368346210675886,0.00523776279342595,267.923
SGC2023ymlbqd,6,100.0,domain_20_120,0.19394151388275435,0.19895150283525598,0.27343997206889803,-0.04123094705593469,234.07
SGC2023aquzjv,6,120.0,domain_20_120,0.1624876390610098,0.12004366338734393,0.2414135607003036,0.0523409981417053,193.469
SGC2023tagwzz,7,120.0,domain_20_120,0.21149677602523131,0.15246558837865834,0.28936297124736976,-0.0523192443740576,227.693
SGC2022zdncla,4,60.0,domain_20_120,0.9178715343247017,0.8575739331306826,1.3429298208115321,0.02087006274494385,179.89499999999998
SGC2024pyionv,7,120.0,domain_20_120,0.20955864389650533,0.18509470768940892,0.3170986001442309,0.0339732848429328,193.469
SGC2023wlnqql,8,30.0,domain_20_120,0.2904019919114603,0.38691910332681423,0.4191383465174894,-0.1389956453637442,210.918
SGC2023vqhrub,6,120.0,domain_20_120,0.15271295106737426,0.2021434195411182,0.1854344957065876,-0.02955183840864175,193.469
SGC2023mvchuq,4,130.0,domain_20_120,0.20499834909349865,0.09017430748122697,0.30474795585413866,-0.013747911328723151,233.34199999999998
SGC2024ujupvr,7,90.0,domain_20_120,0.5878175023542767,0.9073754910499605,0.7970200785280769,0.1115733159501743,208.62699999999995
SGC2025wvcvfj,7,50.0,domain_20_120,0.25611961936195404,0.23974667848360168,0.3903110162945439,-0.0366060317855492,251.25
SGC2023xinscn,5,120.0,domain_20_120,0.13399462613254592,0.18286620154327604,0.18579163465563078,0.0253763044021191,219.767
SGC2025wthywj,5,140.0,domain_20_120,0.2562318143626393,0.29024966745490355,0.39422658663927873,0.1086099511576712,159.08500000000004
SGC2023ywaauj,5,110.0,domain_20_120,0.07380521052317084,0.08565062983156989,0.10661577915344793,0.0023134661814339,242.119
SGC2024wrxjva,4,50.0,domain_20_120,0.11755516929812214,0.062168793772585926,0.17461389997738833,0.03255245643963705,320.96799999999996
SGC2023vfdfoj,6,130.0,domain_20_120,0.15727632623021648,0.15585005177569253,0.24700889794281083,-0.04007902433053795,131.03300000000002
SGC2023teoiha,7,70.0,domain_20_120,0.24509228341471959,0.14389815368286762,0.3320325507716299,-0.0758025170969425,256.51500000000004
SGC2024gkucty,5,120.0,domain_20_120,0.32904058981209017,0.4375408794218011,0.49172497861320397,0.0724237754248591,288.66
SGC2024uqedjr,5,120.0,domain_20_120,0.15959810001653998,0.12053477721466142,0.23376415786927607,0.0608864596591978,193.469
SGC2022vhzdmg,4,50.0,domain_20_120,0.1920573930787246,0.22921706152352028,0.26905010948576874,0.08777033248929555,287.878
SGC2023jfwrtn,5,130.0,domain_20_120,0.19170795509669544,0.21089866441998623,0.2808261774565835,0.0496192184465797,159.08500000000004
SGC2025yuczzx,8,110.0,domain_20_120,0.2681086251562561,0.09490232032034182,0.45118792650478945,-0.03083028335332645,176.695
SGC2026afswai,7,80.0,domain_20_120,0.23601099645477727,0.15587709917185985,0.33040893764101764,-0.0094625560509769,192.608
SGC2023ycjape,5,120.0,domain_20_120,0.05816533106747229,0.06268127183854852,0.075478400585046,-0.0370152364503795,234.83100000000002
SGC2024mnouax,7,130.0,domain_20_120,0.3659847950508148,0.23018012203259328,0.5099921536953085,-0.0557758512432222,209.552
SGC2025zqwcsx,8,130.0,domain_20_120,0.1434055591699986,0.12392651344035135,0.2004529363052046,-0.04389082012286315,212.43
SGC2023vkrrvz,7,130.0,domain_20_120,0.21103217884895373,0.2158617594706274,0.2968596550365511,-0.088693167109632,159.08500000000004
SGC2023ajetdo,7,140.0,domain_20_120,0.14432636429714488,0.09335134187787383,0.19648562209865977,-0.0488416048641866,159.08500000000004
SGC2023mlmecb,4,120.0,domain_20_120,0.09230531289404713,0.08352592054945084,0.13059694877788416,0.0356590919624899,263.33299999999997
SGC2023zicuzp,5,130.0,domain_20_120,0.15006673154447378,0.1378782974574852,0.22431017745658507,-0.0433784191208594,201.02500000000003
SGC2023xctbrz,5,110.0,domain_20_120,0.20355598812862374,0.1888495490479555,0.3120273707032211,0.0383913408415104,232.576
SGC2025kuyfzb,6,100.0,domain_20_120,0.19352390531769859,0.1269711889143589,0.2863215307185989,0.06343088259457991,153.40800000000002
SGC2022uzdcga,6,130.0,domain_20_120,0.32076938213278694,0.47930096151508883,0.4438186562110449,0.01327857933370245,177.74899999999997
SGC2026dktcye,6,130.0,domain_20_120,0.23628979161128805,0.1930304893812529,0.3752094698928463,0.008757870362051896,159.08500000000004
SGC2023tvuaug,7,130.0,domain_20_120,0.1666795870996751,0.13762437515498693,0.241558666192433,-0.007779760503606,159.08500000000004
SGC2026ajmphg,8,140.0,domain_20_120,0.2684012327209756,0.22063287005833565,0.39937989392975404,0.0006010303637076012,138.122
SGC2024sesgmg,5,130.0,domain_20_120,0.174717953356834,0.08253446405560312,0.22668859773171876,-0.1251905485754676,212.43
SGC2024mgtlor,6,20.0,domain_20_120,0.30317769320338117,0.312646032397654,0.3632880327602024,-0.11538257628829295,201.95899999999997
SGC2022vkzqzd,5,130.0,domain_20_120,0.2695565847398235,0.33255642165672783,0.3237484193455586,0.1246929052664924,217.733
SGC2025eqcvse,6,110.0,domain_20_120,0.17354832605350742,0.12879898688254582,0.25859151216318116,0.01078687485065895,250.882
SGC2024rzjwkh,7,120.0,domain_20_120,2.3916806643988564,1.4894078967888529,3.6014324158740134,0.0726083639372578,144.115
SGC2025bsqmdh,4,110.0,domain_20_120,0.5768451153502441,0.5738482298629468,0.8266484594724148,0.05236212222770756,276.551
