lon,lat,x_km,y_km,slab_depth_km,nearest_control_event_km,confidence,vp_final_km_s,dvp_percent_on_surface,vp_active_surface,hit_count_surface,tomography_supported_slab
-73.70880242569181,6.322876285818927,-78.31574842664931,-75.37741186263713,113.28283868413854,2.165303690501369,high,9.072531270930204,-0.26800764350210615,True,27.0,False
-73.69728351380515,6.322876285818927,-77.04302111538973,-75.37741186263713,114.46369866131295,1.103390208178328,high,9.088233232222771,-0.1909838249227612,True,27.0,False
-73.68576460191848,6.322876285818927,-75.77029380413018,-75.37741186263713,115.7939611594996,0.9930102963015065,high,9.110158212740124,0.012466301672727118,True,26.0,True
-73.67424569003181,6.322876285818927,-74.4975664928706,-75.37741186263713,117.26345587038567,1.9985841396523236,high,9.130418608489482,0.34536619626267867,True,26.0,True
-73.66272677814514,6.322876285818927,-73.22483918161103,-75.37741186263713,118.77322760586819,3.2003558076612157,high,9.154405344805948,0.7069539598521158,True,26.0,True
-73.65120786625847,6.322876285818927,-71.95211187035147,-75.37741186263713,120.23624225513052,4.4418335904943405,high,9.173088165423998,1.025907187568917,True,26.0,True
-73.6396889543718,6.322876285818927,-70.6793845590919,-75.37741186263713,121.56331808265041,4.441829842952194,high,9.156623652295368,1.030452907599386,True,28.0,True
-73.62817004248514,6.322876285818927,-69.40665724783233,-75.37741186263713,122.65052853098058,3.2003521234180465,high,9.151343617912314,1.0187170037241113,True,28.0,True
-73.61665113059847,6.322876285818927,-68.13392993657276,-75.37741186263713,123.3626780176926,1.9985806692861143,high,9.158398786370144,1.026041831237304,True,28.0,True
-73.6051322187118,6.322876285818927,-66.8612026253132,-75.37741186263713,123.48555278958732,0.9930082009097025,high,9.179175738498289,1.1121992018918156,True,28.0,True
-73.59361330682513,6.322876285818927,-65.58847531405362,-75.37741186263713,122.65023185476903,1.1033927225406668,high,9.187404216563309,1.138442991188976,True,28.0,True
-73.58209439493847,6.322876285818927,-64.31574800279405,-75.37741186263713,120.91104577890971,2.1653072139743883,high,9.177692679570955,1.0315346950799056,True,28.0,True
-73.5705754830518,6.322876285818927,-63.043020691534494,-75.37741186263713,118.63449216203483,3.3762856483531274,high,9.142310582700524,0.6108483827429443,True,28.0,True
-73.55905657116513,6.322876285818927,-61.77029338027492,-75.37741186263713,116.03002735195751,4.620576137811514,high,9.106850452131463,0.1700486646887877,True,28.0,True
-73.54753765927846,6.322876285818927,-60.49756606901535,-75.37741186263713,113.24866013122227,4.263351190394954,high,9.091445277514977,-0.041348975781308,False,0.0,False
-73.5360187473918,6.322876285818927,-59.22483875775579,-75.37741186263713,110.43307860548316,3.0251224336634492,high,9.09709863580769,-0.008804158922400208,False,0.0,False
-73.52449983550513,6.322876285818927,-57.95211144649622,-75.37741186263713,107.75358986419845,1.834730967285828,high,8.877611535110796,0.15054298173721764,False,0.0,False
-73.51298092361846,6.322876285818927,-56.679384135236646,-75.37741186263713,105.47817115139597,0.9059687211120212,high,8.657540156611484,0.3286580182071384,False,0.0,False
-73.74335916135182,6.338740078909193,-82.13393036042801,-73.61145441582862,109.82563038112178,6.370958462757598,high,9.180671697107986,0.19090010169911795,False,4.0,False
-73.73184024946515,6.338740078909193,-80.86120304916844,-73.61145441582862,110.78489852942504,5.234408539714066,high,9.178352033782417,0.0950517737126908,True,27.0,True
-73.72032133757848,6.338740078909193,-79.58847573790888,-73.61145441582862,111.77013974145454,4.177154941432332,high,9.174283516867943,0.017205772833692904,True,27.0,True
-73.70880242569181,6.338740078909193,-78.31574842664931,-73.61145441582862,112.83048698408334,3.276871017676081,high,9.175238857352152,-0.018876325915653983,True,27.0,False
-73.69728351380515,6.338740078909193,-77.04302111538973,-73.61145441582862,114.01040674858706,2.6957027925738477,high,9.181248574126954,-0.006624269466723023,True,27.0,False
-73.68576460191848,6.338740078909193,-75.77029380413018,-73.61145441582862,115.33634830836799,2.652435304196397,high,9.179431283003792,0.09466059167029633,True,26.0,True
-73.67424569003181,6.338740078909193,-74.4975664928706,-73.61145441582862,116.78959254956858,3.169176889612892,high,9.164974320230396,0.2832144324804658,True,26.0,True
-73.66272677814514,6.338740078909193,-73.22483918161103,-73.61145441582862,118.30261900691269,4.0362880088043145,high,9.156971384040848,0.5081336147861116,True,26.0,True
-73.65120786625847,6.338740078909193,-71.95211187035147,-73.61145441582862,119.78425610177246,5.077325008312002,high,9.156386805323823,0.762805043479366,True,26.0,True
-73.6396889543718,6.338740078909193,-70.6793845590919,-73.61145441582862,121.13139045510222,5.07732172982246,high,9.147237699768485,0.8636033994996041,True,28.0,True
