event_id,round,n_picks,catalog_x_km,catalog_y_km,catalog_z_km,x_km,y_km,depth_km,lat,lon,origin_time_shift_s,rms_before_s,rms_after_s,horizontal_shift_km,vertical_shift_km,total_shift_km,vp_final_km_s,dvp_percent,vp_active,hit_count
SGC2022obwjqd,2,9,-36.31574630737305,-16.207199096679688,140.0,-36.31574630737305,-16.207199096679688,140.0,6.854408919361483,-73.32867832575951,-0.0105702215092371,0.1635764035465146,0.1635764035465146,0.0,0.0,0.0,9.045017137417561,-0.4290081786313173,True,218
SGC2025ycdafx,2,9,-16.315746307373047,-16.207199096679688,150.0,-16.315746307373047,-16.207199096679688,160.0,6.854408919361483,-73.14766685873492,-0.9566177674344658,0.4373891822323813,0.364700880738398,0.0,10.0,10.0,9.339252468966754,2.8100463578211112,True,50
SGC2025yuczzx,2,8,-76.31575012207031,-46.20719909667969,110.0,-76.31575012207031,-46.20719909667969,110.0,6.584915566864178,-73.69070129433389,0.1245378511543187,0.2298521068007465,0.2298521068007465,0.0,0.0,0.0,9.03564464032637,-0.5321841944458479,True,296
SGC2026amcurt,2,8,-66.31575012207031,-36.20719909667969,120.0,-66.31575012207031,-36.20719909667969,130.0,6.67474668436328,-73.60019556082159,-0.7582541658431552,0.2498827738286088,0.1862207430796386,0.0,10.0,10.0,8.843973386553555,0.765349896576419,True,241
SGC2026adwlwp,2,8,-36.31574630737305,-16.207199096679688,130.0,-46.31574630737305,-16.207199096679688,140.0,6.854408919361483,-73.41918405927181,-0.4323974159073369,0.4631011761096855,0.3145021725216434,10.0,10.0,14.142135623730953,9.1285280770246,0.4903120347277561,True,172
SGC2025kgeyrg,2,8,-56.31574630737305,-46.20719909667969,130.0,-56.31574630737305,-46.20719909667969,130.0,6.584915566864178,-73.5096897927841,0.1284391454466149,0.281463661833166,0.281463661833166,0.0,0.0,0.0,9.216851045177766,1.4626048901207107,True,157
SGC2022reqafp,2,8,-36.31574630737305,-6.207200050354004,140.0,-36.31574630737305,-16.207199096679688,150.0,6.854408919361483,-73.32867832575951,-0.9289658894405104,0.3072104435818788,0.2065421656771125,9.999999046325684,10.0,14.14213494938139,8.26403835504335,-0.19277027104581004,True,134
SGC2025zqwcsx,2,8,-66.31575012207031,-66.20719909667969,130.0,-66.31575012207031,-66.20719909667969,130.0,6.405253331865975,-73.60019556082159,0.0759216171703514,0.1268096772293354,0.1268096772293354,0.0,0.0,0.0,9.397954678917197,3.4562626311648064,True,125
SGC2026apmkrl,2,8,-76.31575012207031,-56.20719909667969,120.0,-76.31575012207031,-56.20719909667969,110.0,6.495084449365076,-73.69070129433389,0.7247062622358893,0.1695905138114139,0.1587986732379122,0.0,-10.0,10.0,7.422474897125625,-0.18146501122487346,True,106
SGC2026arcexx,2,8,-86.31575012207031,-16.207199096679688,100.0,-86.31575012207031,-16.207199096679688,110.0,6.854408919361483,-73.78120702784618,-0.5757459997512289,0.384711888700169,0.3440286874884872,0.0,10.0,10.0,8.987260965902532,-1.0648101007488977,True,79
SGC2022rmddhb,2,8,-26.315746307373047,43.79280090332031,130.0,-26.315746307373047,33.79280090332031,120.0,7.303564506856992,-73.23817259224722,1.2215457407457606,0.3251085713943068,0.2886917856640454,10.0,-10.0,14.142135623730953,9.219473467371575,1.4914735119093612,True,72
