event_id,round,n_picks,catalog_x_km,catalog_y_km,catalog_z_km,relocated_x_km,relocated_y_km,relocated_z_km,relocated_lat,relocated_lon,origin_time_shift_s,rms_before_s,rms_after_s,horizontal_shift_km,vertical_shift_km,total_shift_km
SGC2024nctwxg,2,4,-66.31575012207031,-66.20719909667969,120.0,-66.31575012207031,-56.20719909667969,120.0,6.495084449365076,-73.60019556082159,0.529466613240837,0.3122020693621543,0.29635150191613613,10.0,0.0,10.0
SGC2022wwnjbd,2,5,-136.3157501220703,63.79280090332031,60.0,-136.3157501220703,53.79280090332031,50.0,7.483226741855195,-74.23373569540765,1.175466230918854,0.2546238558966344,0.2128650349589708,10.0,-10.0,14.142135623730951
SGC2023yautpo,2,4,-56.31574630737305,53.79280090332031,110.0,-56.31574630737305,53.79280090332031,110.0,7.483226741855195,-73.5096897927841,-0.029174560459463095,0.07113467629478647,0.07113467629478647,0.0,0.0,0.0
SGC2023kiirwu,2,5,-56.31574630737305,43.79280090332031,110.0,-56.31574630737305,43.79280090332031,100.0,7.393395624356093,-73.5096897927841,0.8900190665157304,0.2461668931068181,0.18464713100955515,0.0,-10.0,10.0
SGC2023hotmsm,2,5,-126.31575012207031,-26.207199096679688,80.0,-126.31575012207031,-26.207199096679688,70.0,6.764577801862382,-74.14322996189536,0.7485240167589193,0.24595053693905847,0.2408766366186348,0.0,-10.0,10.0
SGC2023vjshuz,2,5,-66.31575012207031,-66.20719909667969,120.0,-66.31575012207031,-66.20719909667969,130.0,6.405253331865975,-73.60019556082159,-0.8912725692692689,0.3928346783332886,0.2879607649394831,0.0,10.0,10.0
SGC2023pmbdza,2,6,-66.31575012207031,-36.20719909667969,110.0,-76.31575012207031,-26.207199096679688,120.0,6.764577801862382,-73.69070129433389,-0.27038621617642455,0.3701621855902322,0.20018775822547638,14.142135623730951,10.0,17.320508075688775
SGC2024qvfmks,2,5,-56.31574630737305,-46.20719909667969,120.0,-46.31574630737305,-56.20719909667969,130.0,6.495084449365076,-73.41918405927181,-0.7566525176793704,2.44889005377416,2.1561886887737276,14.142135623730951,10.0,17.320508075688775
SGC2024vlbgjo,2,6,-96.31575012207031,-56.20719909667969,20.0,-96.31575012207031,-56.20719909667969,20.0,6.495084449365076,-73.87171276135847,0.06817900442614011,0.29357630035261767,0.29357630035261767,0.0,0.0,0.0
SGC2024pqdlkq,2,5,-46.31574630737305,-16.207199096679688,130.0,-46.31574630737305,-16.207199096679688,140.0,6.854408919361483,-73.41918405927181,-0.9262436746206184,0.2165586667729471,0.18496662864597882,0.0,10.0,10.0
SGC2025txuhau,2,6,-56.31574630737305,33.79280090332031,100.0,-56.31574630737305,33.79280090332031,100.0,7.303564506856992,-73.5096897927841,0.0790457638051798,0.1709976337731535,0.1709976337731535,0.0,0.0,0.0
SGC2024rzmjvd,2,4,-56.31574630737305,-36.20719909667969,130.0,-66.31575012207031,-36.20719909667969,120.0,6.67474668436328,-73.60019556082159,1.2776982286838958,0.2995455883041378,0.16366305365157385,10.000003814697266,-10.0,14.142138321129513
SGC2025tkyclz,2,4,-56.31574630737305,-36.20719909667969,120.0,-56.31574630737305,-36.20719909667969,130.0,6.67474668436328,-73.5096897927841,-0.8875727557950217,0.15108804410779222,0.09591283303217261,0.0,10.0,10.0
SGC2026buvukh,2,6,-66.31575012207031,33.79280090332031,120.0,-56.31574630737305,23.792800903320312,120.0,7.21373338935789,-73.5096897927841,0.5332967957758754,0.2872029666855335,0.15804842125949808,14.142138321129513,0.0,14.142138321129513
SGC2023ypnccm,2,5,-66.31575012207031,-56.20719909667969,110.0,-66.31575012207031,-56.20719909667969,100.0,6.495084449365076,-73.60019556082159,0.6991465881606622,0.18335937793065268,0.17750651819163232,0.0,-10.0,10.0
SGC2023wjamwd,2,6,-86.31575012207031,53.79280090332031,90.0,-86.31575012207031,43.79280090332031,90.0,7.393395624356093,-73.78120702784618,0.6690174020755748,0.2986599240201125,0.1954759635630703,10.0,0.0,10.0
SGC2025ooxkee,2,5,-56.31574630737305,-26.207199096679688,120.0,-56.31574630737305,-26.207199096679688,120.0,6.764577801862382,-73.5096897927841,0.019943432059836397,0.10418509000240371,0.10418509000240371,0.0,0.0,0.0
SGC2024vfdsrm,2,4,-76.31575012207031,-66.20719909667969,110.0,-76.31575012207031,-66.20719909667969,110.0,6.405253331865975,-73.69070129433389,-0.03413662987277277,0.12001053179473761,0.12001053179473761,0.0,0.0,0.0
SGC2025yefnql,2,6,-46.31574630737305,-26.207199096679688,130.0,-46.31574630737305,-26.207199096679688,140.0,6.764577801862382,-73.41918405927181,-0.838971297873421,0.24858210636400332,0.23470316791060772,0.0,10.0,10.0
SGC2024cucgzy,2,5,-106.31575012207031,53.79280090332031,90.0,-106.31575012207031,43.79280090332031,100.0,7.393395624356093,-73.96221849487077,-0.01770794013680188,0.3577199454847221,0.15421496249158168,10.0,10.0,14.142135623730951
SGC2023cftens,2,4,-56.31574630737305,93.79280090332031,110.0,-56.31574630737305,93.79280090332031,100.0,7.842551211851601,-73.5096897927841,0.5279648814146682,0.6982830431693878,0.6280752275085303,0.0,-10.0,10.0
SGC2023zsjxob,2,4,-46.31574630737305,-26.207199096679688,100.0,-46.31574630737305,-26.207199096679688,90.0,6.764577801862382,-73.41918405927181,0.971962818564819,0.3145797190006975,0.26858001746973365,0.0,-10.0,10.0
SGC2024sgviir,2,4,-76.31575012207031,-56.20719909667969,110.0,-76.31575012207031,-56.20719909667969,120.0,6.495084449365076,-73.69070129433389,-0.7197252702328996,0.11757015079632192,0.10447021528304279,0.0,10.0,10.0
SGC2024eotgso,2,4,-56.31574630737305,33.79280090332031,120.0,-66.31575012207031,43.79280090332031,130.0,7.393395624356093,-73.60019556082159,-1.4449187722150771,0.630171793137384,0.44824574001552975,14.142138321129513,10.0,17.320510278105544
SGC2025dhugvg,2,5,-76.31575012207031,63.79280090332031,30.0,-86.31575012207031,73.79280090332031,20.0,7.662888976853399,-73.78120702784618,-1.0164116878269809,0.44185625660355465,0.3818642765802841,14.142135623730951,-10.0,17.320508075688775
SGC2026bfapbx,2,6,-56.31574630737305,-46.20719909667969,130.0,-56.31574630737305,-46.20719909667969,130.0,6.584915566864178,-73.5096897927841,-0.10089914602974481,0.32267338162692133,0.32267338162692133,0.0,0.0,0.0
